Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240907174344

Parameters
Date range,01 Sep 2013 - 31 Jul 2024
Region type,Regional council
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/12/2015,8,Manawatu-Wanganui,All combined,Solar (All),364,0.30903,1.479,4.064,20,3.192
31/12/2015,9,Wellington,All combined,Solar (All),771,0.35081,2.730,3.540,29,3.565
31/12/2015,16,Tasman,All combined,Solar (All),263,1.13553,1.157,4.401,7,4.397
31/12/2015,17,Nelson,All combined,Solar (All),243,0.99910,0.955,3.930,14,2.256
31/12/2015,18,Marlborough,All combined,Solar (All),195,0.78436,0.852,4.369,9,3.878
31/12/2015,12,West Coast,All combined,Solar (All),17,0.09426,0.065,3.812,0,
31/12/2015,13,Canterbury,All combined,Solar (All),1695,0.60196,6.696,3.951,73,3.836
31/12/2015,14,Otago,All combined,Solar (All),585,0.51630,2.302,3.935,24,4.550
31/12/2015,15,Southland,All combined,Solar (All),173,0.33409,0.902,5.215,8,4.388
31/01/2016,1,Northland,All combined,Solar (All),539,0.61632,2.387,4.428,23,4.553
31/01/2016,2,Auckland,All combined,Solar (All),2604,0.44422,9.880,3.794,56,3.341
31/01/2016,3,Waikato,All combined,Solar (All),1084,0.49100,3.902,3.599,40,3.028
31/01/2016,4,Bay of Plenty,All combined,Solar (All),451,0.32974,1.788,3.965,19,2.976
31/01/2016,5,Gisborne,All combined,Solar (All),59,0.32528,0.221,3.750,3,3.000
31/01/2016,6,Hawke's Bay,All combined,Solar (All),424,0.54532,1.746,4.118,18,3.749
31/01/2016,7,Taranaki,All combined,Solar (All),201,0.34362,0.770,3.832,9,3.622
31/01/2016,8,Manawatu-Wanganui,All combined,Solar (All),372,0.31595,1.505,4.045,8,3.188
31/01/2016,9,Wellington,All combined,Solar (All),791,0.35988,2.813,3.557,21,4.205
31/01/2016,16,Tasman,All combined,Solar (All),266,1.14843,1.165,4.378,3,2.577
31/01/2016,17,Nelson,All combined,Solar (All),250,1.02678,0.973,3.893,7,2.596
31/01/2016,18,Marlborough,All combined,Solar (All),198,0.79582,0.859,4.339,3,2.400
31/01/2016,12,West Coast,All combined,Solar (All),18,0.09990,0.067,3.711,1,2.000
31/01/2016,13,Canterbury,All combined,Solar (All),1735,0.61568,6.853,3.950,41,3.933
31/01/2016,14,Otago,All combined,Solar (All),595,0.52531,2.336,3.925,11,2.791
31/01/2016,15,Southland,All combined,Solar (All),176,0.33989,0.916,5.206,3,4.667
29/02/2016,1,Northland,All combined,Solar (All),557,0.63678,2.439,4.378,21,3.124
29/02/2016,2,Auckland,All combined,Solar (All),2675,0.45589,10.135,3.789,70,3.576
29/02/2016,3,Waikato,All combined,Solar (All),1127,0.50999,4.043,3.587,43,3.292
29/02/2016,4,Bay of Plenty,All combined,Solar (All),469,0.34249,1.860,3.965,18,3.969
29/02/2016,5,Gisborne,All combined,Solar (All),65,0.35882,0.241,3.711,6,3.333
29/02/2016,6,Hawke's Bay,All combined,Solar (All),437,0.56198,1.796,4.111,13,3.863
29/02/2016,7,Taranaki,All combined,Solar (All),203,0.34684,0.775,3.820,2,2.600
29/02/2016,8,Manawatu-Wanganui,All combined,Solar (All),391,0.33191,1.575,4.027,20,3.539
